dataset,trial,error_type,intensity,features,model,accuracy,f1_macro,f1_weighted
winequality-red.csv,1,NNAR,0.1,alcohol,RF,0.609375,0.2618791611449706,0.6066439617792395
winequality-red.csv,1,NNAR,0.1,target,LinearSVM,0.5875,0.21346320346320347,0.5303311688311688
winequality-red.csv,1,NNAR,0.1,alcohol,LinearSVM,0.575,0.20821592057547114,0.5176547173176387
winequality-red.csv,1,NNAR,0.1,target,KNN,0.50625,0.23781284843042616,0.4929278482433494
winequality-red.csv,1,NNAR,0.1,alcohol,KNN,0.496875,0.2016612905395143,0.4866771761669334
winequality-red.csv,1,NNAR,0.2,target,RF,0.634375,0.3014424383740808,0.6245506241361484
winequality-red.csv,1,NNAR,0.2,alcohol,RF,0.53125,0.23031144197001244,0.569527684898955
winequality-red.csv,1,NNAR,0.2,target,LinearSVM,0.590625,0.21449381491192843,0.5329081331349066
winequality-red.csv,1,NNAR,0.2,alcohol,LinearSVM,0.584375,0.1830668946969454,0.5303130576598083
winequality-red.csv,1,NNAR,0.2,target,KNN,0.4625,0.22696189303335065,0.4560501110886041
winequality-red.csv,1,NNAR,0.2,alcohol,KNN,0.396875,0.17541571249812368,0.42541784523372667
winequality-red.csv,1,NNAR,0.3,target,RF,0.55625,0.2726382950239424,0.559094582482331
winequality-red.csv,1,NNAR,0.3,alcohol,RF,0.359375,0.17373167604927262,0.4403971907920405
winequality-red.csv,1,NNAR,0.3,target,LinearSVM,0.575,0.20759890325107713,0.5162497901628337
winequality-red.csv,1,NNAR,0.3,alcohol,LinearSVM,0.23125,0.10708010846263676,0.3127351018174487
winequality-red.csv,1,NNAR,0.3,target,KNN,0.43125,0.20243856118230877,0.43148381774055106
winequality-red.csv,1,NNAR,0.3,alcohol,KNN,0.296875,0.14212280428903196,0.3542067705706785
winequality-red.csv,1,NNAR,0.5,target,RF,0.51875,0.2952153934387852,0.5359257718224177
winequality-red.csv,1,NNAR,0.5,alcohol,RF,0.109375,0.08943246303093987,0.1794568029812371
winequality-red.csv,1,NNAR,0.5,target,LinearSVM,0.54375,0.23029259422525902,0.4943134229667181
winequality-red.csv,1,NNAR,0.5,alcohol,LinearSVM,0.0,0.0,0.0
winequality-red.csv,1,NNAR,0.5,target,KNN,0.396875,0.20268936504634447,0.4181168521600444
winequality-red.csv,1,NNAR,0.5,alcohol,KNN,0.1375,0.0890599701083572,0.20483244333042722
winequality-red.csv,1,NCAR,0.1,target,RF,0.665625,0.33119422217805333,0.6522616964655878
winequality-red.csv,1,NCAR,0.1,alcohol,RF,0.6125,0.26756072874493925,0.6140498481781377
winequality-red.csv,1,NCAR,0.1,target,LinearSVM,0.590625,0.21530482939878914,0.5345168254564228
winequality-red.csv,1,NCAR,0.1,alcohol,LinearSVM,0.590625,0.2145499286845034,0.5328936850519584
winequality-red.csv,1,NCAR,0.1,target,KNN,0.5125,0.23778954769520802,0.49572869825228316
winequality-red.csv,1,NCAR,0.1,alcohol,KNN,0.478125,0.19062287038299036,0.4728819681068557
winequality-red.csv,1,NCAR,0.2,target,RF,0.59375,0.28515687211339386,0.5969222806179328
winequality-red.csv,1,NCAR,0.2,alcohol,RF,0.503125,0.23811800564777602,0.5500044823619059
winequality-red.csv,1,NCAR,0.2,target,LinearSVM,0.578125,0.21062823564532218,0.5232229973368527
winequality-red.csv,1,NCAR,0.2,alcohol,LinearSVM,0.565625,0.20526212139115363,0.5100484461774785
winequality-red.csv,1,NCAR,0.2,target,KNN,0.5,0.2520697107292542,0.49412217943677395
winequality-red.csv,1,NCAR,0.2,alcohol,KNN,0.40625,0.18579584803751015,0.43326820832712026
winequality-red.csv,1,NCAR,0.3,target,RF,0.584375,0.2958329846874739,0.5983480163046726
winequality-red.csv,1,NCAR,0.3,alcohol,RF,0.309375,0.16777015353918776,0.4061556804632941
winequality-red.csv,1,NCAR,0.3,target,LinearSVM,0.5625,0.2037352581548535,0.5063767601467282
winequality-red.csv,1,NCAR,0.3,alcohol,LinearSVM,0.259375,0.11348847231200174,0.33179487179487177
winequality-red.csv,1,NCAR,0.3,target,KNN,0.44375,0.2314985150351004,0.45699711873492366
winequality-red.csv,1,NCAR,0.3,alcohol,KNN,0.315625,0.1650107149814923,0.380878628482369
winequality-red.csv,1,NCAR,0.5,target,RF,0.503125,0.25494638687316096,0.5284054675965193
winequality-red.csv,1,NCAR,0.5,alcohol,RF,0.065625,0.049011340981141946,0.11673072523450012
winequality-red.csv,1,NCAR,0.5,target,LinearSVM,0.55625,0.2014086463107355,0.5005731801678472
winequality-red.csv,1,NCAR,0.5,alcohol,LinearSVM,0.0,0.0,0.0
winequality-red.csv,1,NCAR,0.5,target,KNN,0.38125,0.2157619797280608,0.4110600860231597
winequality-red.csv,1,NCAR,0.5,alcohol,KNN,0.1125,0.06375684201396022,0.1746181254593679
